date,mateve,piece,company
12 March 1957,Evening,Checkmate,The Royal Ballet
12 March 1957,Evening,Les Patineurs,The Royal Ballet
12 March 1957,Evening,Daphnis and Chloë,The Royal Ballet
26 March 1957,Evening,Petrushka,The Royal Ballet
28 March 1957,Evening,Les Sylphides,The Royal Ballet
28 March 1957,Evening,Petrushka,The Royal Ballet
28 March 1957,Evening,Ballet Imperial,The Royal Ballet
10 April 1957,Evening,Job,The Royal Ballet
10 April 1957,Evening,Ballet Imperial,The Royal Ballet
10 April 1957,Evening,Daphnis and Chloë,The Royal Ballet
22 August 1957,Evening,Ballet Imperial,The Royal Ballet
22 August 1957,Evening,Checkmate,The Royal Ballet
22 August 1957,Evening,Rinaldo and Armida,The Royal Ballet
24 August 1957,Matinee,The Shadow,The Royal Ballet
24 August 1957,Matinee,The Lady and the Fool,The Royal Ballet
24 August 1957,Matinee,La Péri,The Royal Ballet
19 February 1958,Evening,Sylvia,The Royal Ballet
22 February 1958,Matinee,Les Sylphides,The Royal Ballet
22 February 1958,Matinee,La Péri,The Royal Ballet
22 February 1958,Matinee,The Lady and the Fool,The Royal Ballet
